20:23:51.421 [http-nio-8080-exec-2] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=1, username=testUser2, password=testPass2)
20:23:51.544 [http-nio-8080-exec-2] INFO  iLog - Class: class com.revature.p2_lfg.service.profile.classes.ProfileService - Returning: ProfileResponse(success=true, username=testUser2, firstName=, lastName=, email=testemail2@email.com, JWT=eyJhbGciOiJIUzI1NiJ9.eyJmaXJzdE5hbWUiOiIiLCJsYXN0TmFtZSI6IiIsInVzZXJuYW1lIjoidGVzdFVzZXIyIiwidXNlcklkIjoxLCJhY2NvdW50Ijp0cnVlfQ.wxWNxw22xfRwayKO3yrZMZ4dO8665aL1OPf-yH43bpg)
20:28:41.680 [http-nio-8080-exec-8] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=1, username=124124124, password=testPass2)
20:28:41.784 [http-nio-8080-exec-8] INFO  iLog - Class: class com.revature.p2_lfg.service.profile.classes.ProfileService - Returning: ProfileResponse(success=true, username=124124124, firstName=, lastName=, email=testemail2@email.com, JWT=eyJhbGciOiJIUzI1NiJ9.eyJmaXJzdE5hbWUiOiIiLCJsYXN0TmFtZSI6IiIsInVzZXJuYW1lIjoiMTI0MTI0MTI0IiwidXNlcklkIjoxLCJhY2NvdW50Ijp0cnVlfQ.bf8VyIZn17-sK_0M8DySPZSMsVIJERvTO-kqRDZJoZs)
20:50:38.852 [http-nio-8080-exec-2] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=1, username=shasdfasdf, password=asdfasdf)
20:50:38.943 [http-nio-8080-exec-2] INFO  iLog - Class: class com.revature.p2_lfg.service.profile.classes.ProfileService - Returning: ProfileResponse(success=true, username=shasdfasdf, firstName=, lastName=, email=testemail2@email.com, JWT=eyJhbGciOiJIUzI1NiJ9.eyJmaXJzdE5hbWUiOiIiLCJsYXN0TmFtZSI6IiIsInVzZXJuYW1lIjoic2hhc2RmYXNkZiIsInVzZXJJZCI6MSwiYWNjb3VudCI6dHJ1ZX0.ziX2mSubF80lqnrSxZlFM3ElgrAmBvWdII3m52dDKIs)
20:50:54.745 [http-nio-8080-exec-5] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=2, username=asdfasdf, password=asdfasdf)
20:51:10.559 [http-nio-8080-exec-9] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=4, username=asddfsadffasdf, password=asfdfa)
20:51:19.662 [http-nio-8080-exec-1] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=5, username=asdfd, password=asfdfa)
20:51:19.668 [http-nio-8080-exec-1] INFO  iLog - Class: class com.revature.p2_lfg.service.profile.classes.ProfileService - Returning: ProfileResponse(success=true, username=asdfd, firstName=, lastName=, email=testemaiasdfl2@email.com, JWT=eyJhbGciOiJIUzI1NiJ9.eyJmaXJzdE5hbWUiOiIiLCJsYXN0TmFtZSI6IiIsInVzZXJuYW1lIjoiYXNkZmQiLCJ1c2VySWQiOjUsImFjY291bnQiOnRydWV9.i4pGvzJbCbSAB6cO1F6SdFQa-e473B3LG-JvV6khULc)
22:13:29.632 [http-nio-8080-exec-1] INFO  iLog - Class: class com.revature.p2_lfg.service.login.classes.LoginService - Returning: UserCredential(userid=1, username=asdfd, password=asfdfa)
